City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,crane,31.3974,-102.3501,20.02,14,0,9.83,US,1739657481
1,bredasdorp,-34.5322,20.0403,18.49,87,17,1.67,ZA,1739657749
2,port-aux-francais,-49.35,70.2167,7.78,88,100,14.25,TF,1739657750
3,olonkinbyen,70.9221,-8.7187,-4.12,75,96,3.29,SJ,1739657751
4,anloga,5.7947,0.8973,27.83,83,56,4.65,GH,1739657752
5,adamstown,-25.066,-130.1015,25.92,80,30,8.02,PN,1739657753
6,lebu,-37.6167,-73.65,14.8,76,8,7.53,CL,1739657754
7,invercargill,-46.4,168.35,23.34,58,30,1.79,NZ,1739657756
8,viedma,-40.8135,-62.9967,32.34,14,100,5.79,AR,1739657754
9,den burg,53.0542,4.7972,1.99,75,100,3.09,NL,1739657758
10,waitangi,-43.9535,-176.5597,18.23,89,91,1.79,NZ,1739657759
11,oranjemund,-28.55,16.4333,17.23,92,48,8.03,NA,1739657760
12,college,64.8569,-147.8028,-17.18,75,75,0.0,US,1739657761
13,peebles,55.6519,-3.1888,2.21,96,99,2.24,GB,1739657762
14,poronaysk,49.2167,143.1167,-18.09,90,7,2.15,RU,1739657763
15,laojunmiao,39.8333,97.7333,-7.63,28,0,3.0,CN,1739657764
16,kapuskasing,49.4169,-82.4331,-13.95,72,75,5.14,CA,1739657643
17,grytviken,-54.2811,-36.5092,1.86,60,86,1.36,GS,1739657767
18,tasqala,51.1167,50.3167,-2.43,77,100,9.87,KZ,1739657769
19,burang,30.25,81.1667,-19.16,84,67,1.46,CN,1739657770
20,saudarkrokur,65.7461,-19.6394,-7.06,77,29,3.18,IS,1739657771
21,tiksi,71.6872,128.8694,-28.76,99,48,1.73,RU,1739657772
22,lompoc,34.6391,-120.4579,19.73,58,0,7.72,US,1739657773
23,taoudenni,22.6783,-3.9836,26.31,18,80,4.44,ML,1739657774
24,achinsk,56.2694,90.4993,-15.87,90,95,1.97,RU,1739657775
